movie,studio,production_budget,domestic_gross,worldwide_gross,release_month,foreign_gross,net_profit
Avengers: Infinity War,BV,300000000.0,678815482.0,2048134200.0,April,1369318718.0,1748134200.0
Jurassic World,Uni.,215000000.0,652270625.0,1648854864.0,June,996584239.0,1433854864.0
Furious 7,Uni.,190000000.0,353007020.0,1518722794.0,April,1165715774.0,1328722794.0
Black Panther,BV,200000000.0,700059566.0,1348258224.0,February,648198658.0,1148258224.0
Jurassic World: Fallen Kingdom,Uni.,170000000.0,417719760.0,1305772799.0,June,888053039.0,1135772799.0
Frozen,BV,150000000.0,400738009.0,1272469910.0,November,871731901.0,1122469910.0
Minions,Uni.,74000000.0,336045770.0,1160336173.0,July,824290403.0,1086336173.0
Avengers: Age of Ultron,BV,330600000.0,459005868.0,1403013963.0,May,944008095.0,1072413963.0
Incredibles 2,BV,200000000.0,608581744.0,1242520711.0,June,633938967.0,1042520711.0
Iron Man 3,BV,200000000.0,408992272.0,1215392272.0,May,806400000.0,1015392272.0
Aquaman,WB,160000000.0,335061807.0,1146894640.0,December,811832833.0,986894640.0
The Fate of the Furious,Uni.,250000000.0,225764765.0,1234846267.0,April,1009081502.0,984846267.0
Despicable Me 3,Uni.,75000000.0,264624300.0,1034727750.0,June,770103450.0,959727750.0
Transformers: Dark of the Moon,P/DW,195000000.0,352390543.0,1123790543.0,June,771400000.0,928790543.0
Skyfall,Sony,200000000.0,304360277.0,1110526981.0,November,806166704.0,910526981.0
Despicable Me 2,Uni.,76000000.0,368065385.0,975216835.0,July,607151450.0,899216835.0
Transformers: Age of Extinction,Par.,210000000.0,245439076.0,1104039076.0,June,858600000.0,894039076.0
Captain America: Civil War,BV,250000000.0,408084349.0,1140069413.0,May,731985064.0,890069413.0
Jumanji: Welcome to the Jungle,Sony,90000000.0,404508916.0,964496193.0,December,559987277.0,874496193.0
Zootopia,BV,150000000.0,341268248.0,1019429616.0,March,678161368.0,869429616.0
Toy Story 3,BV,200000000.0,415004880.0,1068879522.0,June,653874642.0,868879522.0
Rogue One: A Star Wars Story,BV,200000000.0,532177324.0,1049102856.0,December,516925532.0,849102856.0
Bohemian Rhapsody,Fox,55000000.0,216303339.0,894985342.0,November,678682003.0,839985342.0
Finding Dory,BV,200000000.0,486295561.0,1021215193.0,June,534919632.0,821215193.0
The Secret Life of Pets,Uni.,75000000.0,368384330.0,886750534.0,July,518366204.0,811750534.0
The Dark Knight Rises,WB,275000000.0,448139099.0,1084439099.0,July,636300000.0,809439099.0
Ice Age: Continental Drift,Fox,95000000.0,161321843.0,879765137.0,July,718443294.0,784765137.0
The Hobbit: An Unexpected Journey,WB (NL),250000000.0,303003568.0,1017003568.0,December,714000000.0,767003568.0
Deadpool,Fox,58000000.0,363070709.0,801025593.0,February,437954884.0,743025593.0
The Hunger Games: Catching Fire,LGF,130000000.0,424668047.0,864868047.0,November,440200000.0,734868047.0
The Hobbit: The Desolation of Smaug,WB (NL),250000000.0,258366855.0,960366855.0,December,702000000.0,710366855.0
Spider-Man: Homecoming,Sony,175000000.0,334201140.0,880166350.0,July,545965210.0,705166350.0
The Hobbit: The Battle of the Five Armies,WB (NL),250000000.0,255119788.0,945577621.0,December,690457833.0,695577621.0
Inside Out,BV,175000000.0,356461711.0,854235992.0,June,497774281.0,679235992.0
Deadpool 2,Fox,110000000.0,324591735.0,786680557.0,May,462088822.0,676680557.0
Inception,WB,160000000.0,292576195.0,835524642.0,July,542948447.0,675524642.0
Wonder Woman,WB,150000000.0,412563408.0,821133378.0,June,408569970.0,671133378.0
Thor: Ragnarok,BV,180000000.0,315058289.0,846980024.0,November,531921735.0,666980024.0
It,WB (NL),35000000.0,327481748.0,697457969.0,September,369976221.0,662457969.0
The Hunger Games: Mockingjay - Part 1,LGF,125000000.0,337135885.0,766575131.0,November,429439246.0,641575131.0
The Twilight Saga: Eclipse,Sum.,68000000.0,300531751.0,706102828.0,June,405571077.0,638102828.0
Pirates of the Caribbean: On Stranger Tides,BV,410600000.0,241063875.0,1045663875.0,May,804600000.0,635063875.0
Coco,BV,175000000.0,209726015.0,798008101.0,November,588282086.0,623008101.0
Batman v Superman: Dawn of Justice,WB,250000000.0,330360194.0,867500281.0,March,537140087.0,617500281.0
Madagascar 3: Europe's Most Wanted,P/DW,145000000.0,216391482.0,746921271.0,June,530529789.0,601921271.0
Guardians of the Galaxy,BV,170000000.0,333172112.0,770867516.0,August,437695404.0,600867516.0
The Hunger Games,LGF,80000000.0,408010692.0,677923379.0,March,269912687.0,597923379.0
Shrek Forever After,P/DW,165000000.0,238736787.0,756244673.0,May,517507886.0,591244673.0
Gravity,WB,110000000.0,274092705.0,693698673.0,October,419605968.0,583698673.0
Spectre,Sony,300000000.0,200074175.0,879620923.0,November,679546748.0,579620923.0
Maleficent,BV,180000000.0,241407328.0,758536735.0,May,517129407.0,578536735.0
Suicide Squad,WB,175000000.0,325100054.0,746059887.0,August,420959833.0,571059887.0
Sing,Uni.,75000000.0,270329045.0,634454789.0,December,364125744.0,559454789.0
Pirates of the Caribbean: Dead Men Tell No Tales,BV,230000000.0,172558876.0,788241137.0,May,615682261.0,558241137.0
X-Men: Days of Future Past,Fox,200000000.0,233921534.0,747862775.0,May,513941241.0,547862775.0
The Martian,Fox,108000000.0,228433663.0,655271443.0,October,426837780.0,547271443.0
Captain America: The Winter Soldier,BV,170000000.0,259746958.0,714401889.0,April,454654931.0,544401889.0
Monsters University,BV,200000000.0,268488329.0,743588329.0,June,475100000.0,543588329.0
Dawn of the Planet of the Apes,Fox,170000000.0,208545589.0,710644566.0,July,502098977.0,540644566.0
The Amazing Spider-Man,Sony,220000000.0,262030663.0,757890267.0,July,495859604.0,537890267.0
Fifty Shades of Grey,Uni.,40000000.0,166167230.0,570998101.0,February,404830871.0,530998101.0
Kung Fu Panda 2,P/DW,150000000.0,165249063.0,664837547.0,May,499588484.0,514837547.0
Doctor Strange,BV,165000000.0,232641920.0,676404566.0,November,443762646.0,511404566.0
The Amazing Spider-Man 2,Sony,200000000.0,202853933.0,708996336.0,May,506142403.0,508996336.0
The Hangover Part II,WB,80000000.0,254464305.0,586464305.0,May,332000000.0,506464305.0
Ted,Uni.,50000000.0,218665740.0,556016627.0,June,337350887.0,506016627.0
Fast Five,Uni.,125000000.0,210031325.0,630163454.0,April,420132129.0,505163454.0
Interstellar,Par.,165000000.0,188017894.0,666379375.0,November,478361481.0,501379375.0
Life of Pi,Fox,120000000.0,124987022.0,620912003.0,November,495924981.0,500912003.0
Thor: The Dark World,BV,150000000.0,206362140.0,644602516.0,November,438240376.0,494602516.0
Ant-Man and the Wasp,BV,130000000.0,216648740.0,623144660.0,July,406495920.0,493144660.0
American Sniper,WB,58000000.0,350126372.0,547326372.0,December,197200000.0,489326372.0
The Hunger Games: Mockingjay - Part 2,LGF,160000000.0,281723902.0,648986787.0,November,367262885.0,488986787.0
Moana,BV,150000000.0,248757044.0,637517365.0,November,388760321.0,487517365.0
Big Hero 6,BV,165000000.0,222527828.0,652127828.0,November,429600000.0,487127828.0
Despicable Me,Uni.,69000000.0,251513985.0,543464573.0,July,291950588.0,474464573.0
How to Train Your Dragon 2,Fox,145000000.0,177002924.0,614586270.0,June,437583346.0,469586270.0
Hotel Transylvania 3: Summer Vacation,Sony,65000000.0,167500092.0,527079962.0,July,359579870.0,462079962.0
The Smurfs,Sony,110000000.0,142614158.0,563749323.0,July,421135165.0,453749323.0
Fantastic Beasts: The Crimes of Grindelwald,WB,200000000.0,159555901.0,652220086.0,November,492664185.0,452220086.0
Iron Man 2,Par.,170000000.0,312433331.0,621156389.0,May,308723058.0,451156389.0
Man of Steel,WB,225000000.0,291045518.0,667999518.0,June,376954000.0,442999518.0
The Croods,Fox,135000000.0,187168425.0,573068425.0,March,385900000.0,438068425.0
Ready Player One,WB,150000000.0,137690172.0,579290136.0,March,441599964.0,429290136.0
Puss in Boots,P/DW,130000000.0,149260504.0,554987477.0,October,405726973.0,424987477.0
Lucy,Uni.,40000000.0,126573960.0,457507776.0,July,330933816.0,417507776.0
Sherlock Holmes: A Game of Shadows,WB,125000000.0,186848418.0,535663443.0,December,348815025.0,410663443.0
La La Land,LG/S,20000000.0,151101803.0,426351163.0,December,275249360.0,406351163.0
The Revenant,Fox,135000000.0,183637894.0,532938302.0,December,349300408.0,397938302.0
Rio,Fox,90000000.0,143619809.0,487519809.0,April,343900000.0,397519809.0
Hotel Transylvania 2,Sony,80000000.0,169700110.0,469500298.0,September,299800188.0,389500298.0
Ant-Man,BV,130000000.0,180202163.0,518858449.0,July,338656286.0,388858449.0
Transformers: The Last Knight,Par.,217000000.0,130168683.0,602893340.0,June,472724657.0,385893340.0
The Boss Baby,Fox,125000000.0,175003033.0,510878762.0,March,335875729.0,385878762.0
Rise of the Planet of the Apes,Fox,93000000.0,176760185.0,470986200.0,August,294226015.0,377986200.0
Kung Fu Panda 3,Fox,140000000.0,143528619.0,517599142.0,January,374070523.0,377599142.0
Kong: Skull Island,WB,185000000.0,168052812.0,561072059.0,March,393019247.0,376072059.0
Brave,BV,185000000.0,237282182.0,554606532.0,June,317324350.0,369606532.0
X-Men: Apocalypse,Fox,178000000.0,155442489.0,542537546.0,May,387095057.0,364537546.0
Bumblebee,Par.,102000000.0,127195589.0,465195589.0,December,338000000.0,363195589.0
Rio 2,Fox,130000000.0,131538435.0,492846291.0,April,361307856.0,362846291.0
Cars 2,BV,200000000.0,191450875.0,560155383.0,June,368704508.0,360155383.0
Justice League,WB,300000000.0,229024295.0,655945209.0,November,426920914.0,355945209.0
The Meg,WB,178000000.0,145443742.0,529530715.0,August,384086973.0,351530715.0
Django Unchained,Wein.,100000000.0,162805434.0,449948323.0,December,287142889.0,349948323.0
Dunkirk,WB,150000000.0,190068280.0,499837368.0,July,309769088.0,349837368.0
San Andreas,WB (NL),110000000.0,155190832.0,456258539.0,May,301067707.0,346258539.0
World War Z,Par.,190000000.0,202359711.0,531514650.0,June,329154939.0,341514650.0
War for the Planet of the Apes,Fox,152000000.0,146880162.0,489592267.0,July,342712105.0,337592267.0
Taken 2,Fox,45000000.0,139854287.0,377807404.0,October,237953117.0,332807404.0
Wreck-It Ralph,BV,165000000.0,189412677.0,496511521.0,November,307098844.0,331511521.0
How to Train Your Dragon,P/DW,165000000.0,217581232.0,494870992.0,March,277289760.0,329870992.0
Tangled,BV,260000000.0,200821936.0,586477240.0,November,385655304.0,326477240.0
Fifty Shades Darker,Uni.,55000000.0,114434010.0,381398492.0,February,266964482.0,326398492.0
Black Swan,FoxS,13000000.0,106954678.0,331266710.0,December,224312032.0,318266710.0
A Quiet Place,Par.,17000000.0,188024361.0,334522294.0,April,146497933.0,317522294.0
Fifty Shades Freed,Uni.,55000000.0,100407760.0,371350619.0,February,270942859.0,316350619.0
The Maze Runner,Fox,34000000.0,102427862.0,348319861.0,September,245891999.0,314319861.0
The Karate Kid,Sony,40000000.0,176591618.0,351774938.0,June,175183320.0,311774938.0
Kingsman: The Secret Service,Fox,94000000.0,128261724.0,404561724.0,February,276300000.0,310561724.0
Gone Girl,Fox,61000000.0,167767189.0,368567189.0,October,200800000.0,307567189.0
Kingsman: The Golden Circle,Fox,104000000.0,100234838.0,408803696.0,September,308568858.0,304803696.0
The Greatest Showman,Fox,84000000.0,174340174.0,386665550.0,December,212325376.0,302665550.0
The Wolverine,Fox,115000000.0,132556852.0,416456852.0,July,283900000.0,301456852.0
Thor,Par.,150000000.0,181030624.0,449326618.0,May,268295994.0,299326618.0
Green Book,Uni.,23000000.0,85080171.0,322034439.0,November,236954268.0,299034439.0
The Conjuring,WB (NL),20000000.0,137400141.0,318000141.0,July,180600000.0,298000141.0
Ice Age: Collision Course,Fox,105000000.0,64063008.0,402156682.0,July,338093674.0,297156682.0
Peter Rabbit,Sony,50000000.0,115234093.0,347136477.0,February,231902384.0,297136477.0
Jason Bourne,Uni.,120000000.0,162192920.0,416168316.0,July,253975396.0,296168316.0
Hotel Transylvania,Sony,85000000.0,148313048.0,378505812.0,September,230192764.0,293505812.0
Annabelle: Creation,WB (NL),15000000.0,102092201.0,305384865.0,August,203292664.0,290384865.0
The Wolf of Wall Street,Par.,100000000.0,116900694.0,389870414.0,December,272969720.0,289870414.0
Dangal,UTV,9500000.0,12391761.0,294654618.0,December,282262857.0,285154618.0
Wonder,LGF,20000000.0,132422809.0,304604712.0,November,172181903.0,284604712.0
22 Jump Street,Sony,50000000.0,191719337.0,331333876.0,June,139614539.0,281333876.0
Taken 3,Fox,48000000.0,89256424.0,327656424.0,January,238400000.0,279656424.0
The Angry Birds Movie,Sony,73000000.0,107509366.0,352327887.0,May,244818521.0,279327887.0
Prometheus,Fox,125000000.0,126477084.0,402448265.0,June,275971181.0,277448265.0
